Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Unique ID,Count of Officers/Agents
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600067,2
2020,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,200300057,1
2021,AUG,U.S. Border Patrol,Southern Border,Laredo Sector,210800037,1
2020,MAR,Office of Field Operations,Northern Border,Boston Field Office,200300072,1
2020,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,200800029,1
2022,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,221100002,1
2021,APR,U.S. Border Patrol,Southern Border,Tucson Sector,210400082,1
2021,APR,U.S. Border Patrol,Southern Border,San Diego Sector,210400062,1
2019,MAR,U.S. Border Patrol,Southern Border,Del Rio Sector,190300006,1
2020,DEC,U.S. Border Patrol,Southern Border,El Centro Sector,201200007,1
2020,NOV,U.S. Border Patrol,Southern Border,Laredo Sector,201100028,1
2019,DEC,U.S. Border Patrol,Southern Border,Laredo Sector,191200028,1
2019,FEB,Office of Field Operations,Coastal/Interior,Los Angeles Field Office,190200075,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600069,1
2020,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,200100034,1
2022,JUN,Office of Field Operations,Southern Border,San Diego Field Office,220600083,1
2019,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,190800052,3
2020,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,200100059,1
2019,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,190400052,1
2019,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,191100059,1
2020,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,201000020,1
2022,JAN,U.S. Border Patrol,Southern Border,Laredo Sector,220100031,1
2020,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,200700077,1
2021,NOV,U.S. Border Patrol,Southern Border,Del Rio Sector,211100005,1
2019,APR,U.S. Border Patrol,Southern Border,El Centro Sector,190400019,1
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100071,1
